ixDay,Date,Weekday,,SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
1007,1/6/2004,Tuesday,3,112.16,112.73,112,112.55,20472800,90.21
1008,1/7/2004,Wednesday,4,112.39,113.06,111.89,112.93,30170400,90.52
1009,1/8/2004,Thursday,5,113.25,113.41,112.77,113.38,36438400,90.88
1010,1/9/2004,Friday,6,112.83,113.5,112.27,112.39,54084300,90.09
1011,1/12/2004,Monday,7,112.55,113.25,112.36,113.22,31564100,90.75
1012,1/13/2004,Tuesday,8,113.09,113.23,111.76,112.56,54239700,90.22
1013,1/14/2004,Wednesday,9,112.76,113.66,112.67,113.5,30112800,90.98
1014,1/15/2004,Thursday,10,113.57,114.06,112.58,113.78,38408700,91.2
1015,1/16/2004,Friday,11,114.04,114.31,113.63,114.23,31922700,91.56
1016,1/20/2004,Tuesday,12,114.53,114.65,113.82,114.2,29863000,91.54
1017,1/21/2004,Wednesday,13,114.13,115.3,113.72,115.1,30725000,92.26
1018,1/22/2004,Thursday,14,115.14,115.38,114.58,114.8,29888500,92.02
1019,1/23/2004,Friday,15,115,115.37,113.95,114.43,44245300,91.72
1020,1/26/2004,Monday,16,114.39,115.93,114.38,115.87,30460600,92.88
1021,1/27/2004,Tuesday,17,115.75,116.5,114.65,114.68,35322800,91.92
1022,1/28/2004,Wednesday,18,114.98,115.28,112.94,113.37,52621300,90.87
1023,1/29/2004,Thursday,19,113.56,113.85,112.56,113.48,60117100,90.96
1024,1/30/2004,Friday,20,113.52,113.72,113.09,113.48,30984400,90.96
1025,2/2/2004,Monday,21,113.7,114.68,113.12,113.97,38832400,91.35
1026,2/3/2004,Tuesday,22,113.74,114.14,113.44,113.78,25093500,91.2
1027,2/4/2004,Wednesday,23,113.19,113.73,112.79,112.85,39332600,90.45
1028,2/5/2004,Thursday,24,113.17,113.54,112.78,113.18,37226800,90.72
1029,2/6/2004,Friday,25,113.42,114.7,113.2,114.45,37216000,91.74
1030,2/9/2004,Monday,26,114.67,114.87,114.29,114.48,24851300,91.76
1031,2/10/2004,Tuesday,27,114.28,115.14,114.26,114.85,27908100,92.06
1032,2/11/2004,Wednesday,28,114.85,116.39,114.17,116.07,42965700,93.04
1033,2/12/2004,Thursday,29,115.97,116.27,115.58,115.65,27814700,92.7
1034,2/13/2004,Friday,30,115.82,116.2,114.75,115.13,44739900,92.28
1035,2/17/2004,Tuesday,31,115.85,116.43,115.77,116.17,23984300,93.12
1036,2/18/2004,Wednesday,32,116.2,116.6,115.35,115.66,28618000,92.71
1037,2/19/2004,Thursday,33,116.33,116.39,115.06,115.23,51146200,92.36
1038,2/20/2004,Friday,34,115.48,115.56,114.32,114.88,46728800,92.08
1039,2/23/2004,Monday,35,115.22,115.26,114.17,114.59,36357000,91.85
1040,2/24/2004,Tuesday,36,114.27,114.99,113.03,114.39,43953000,91.69
1041,2/25/2004,Wednesday,37,114.46,115.06,114.32,114.87,31213600,92.07
1042,2/26/2004,Thursday,38,114.61,115.29,114.34,114.94,29683000,92.13
1043,2/27/2004,Friday,39,115.19,115.74,114.63,115.02,39312000,92.19
1044,3/1/2004,Monday,40,115.43,116.34,115.25,116.16,33130800,93.11
1045,3/2/2004,Tuesday,41,115.94,116.97,115.23,115.48,38556400,92.56
1046,3/3/2004,Wednesday,42,115.25,115.87,114.92,115.69,31346200,92.73
1047,3/4/2004,Thursday,43,115.72,116.1,115.52,115.99,21060000,92.97
1048,3/5/2004,Friday,44,115.42,116.95,115.28,116.38,55905600,93.28
1049,3/8/2004,Monday,45,116.34,116.62,114.91,114.96,39281600,92.15
1050,3/9/2004,Tuesday,46,115.1,115.21,114.24,114.5,39746100,91.78
1051,3/10/2004,Wednesday,47,114.72,114.77,112.56,112.58,67671800,90.24
1052,3/11/2004,Thursday,48,112.4,113.27,111.1,111.12,89134800,89.07
1053,3/12/2004,Friday,49,111.73,112.71,111.58,112.58,54012200,90.24
1054,3/15/2004,Monday,50,112.27,112.35,110.9,111.2,57677200,89.13
1055,3/16/2004,Tuesday,51,111.78,112.06,110.84,111.79,59832600,89.61
1056,3/17/2004,Wednesday,52,112.18,113.26,112.1,113.04,41607300,90.61
1057,3/18/2004,Thursday,53,112.7,113.27,111.93,113.07,60014300,90.63
1058,3/19/2004,Friday,54,112.41,112.57,111.04,111.06,48636200,89.33
1059,3/22/2004,Monday,55,110.54,110.57,109.1,109.65,62752100,88.2
1060,3/23/2004,Tuesday,56,110.25,110.4,109.36,109.46,54080200,88.05
1061,3/24/2004,Wednesday,57,109.58,110.14,108.85,109.55,51584300,88.12
1062,3/25/2004,Thursday,58,110.08,111.3,109.79,111,49873600,89.28
1063,3/26/2004,Friday,59,110.96,111.79,110.8,111.03,37409500,89.31
1064,3/29/2004,Monday,60,111.63,112.74,111.58,112.59,44113600,90.56
1065,3/30/2004,Tuesday,61,112.3,113.07,112.22,112.97,39059900,90.87
1066,3/31/2004,Wednesday,62,112.99,113.4,112.38,113.1,48517600,90.97
1067,4/1/2004,Thursday,63,113.07,113.87,113.05,113.78,45103800,91.52
1068,4/2/2004,Friday,64,114.81,114.84,113.9,114.64,50987700,92.21
1069,4/5/2004,Monday,65,114.46,115.38,114.44,115.27,30251800,92.72
1070,4/6/2004,Tuesday,66,114.83,115.18,114.62,114.9,28420900,92.42
1071,4/7/2004,Wednesday,67,114.95,114.98,114.11,114.63,45890500,92.2
1072,4/8/2004,Thursday,68,115.41,115.41,113.74,114.37,46929700,91.99
1073,4/12/2004,Monday,69,114.58,115.08,114.57,114.82,23085200,92.36
1074,4/13/2004,Tuesday,70,115.26,115.3,113.02,113.21,56210300,91.06
1075,4/14/2004,Wednesday,71,112.61,113.64,112.55,113.39,62322300,91.21
1076,4/15/2004,Thursday,72,113.45,113.78,112.36,112.96,61602500,90.86
1077,4/16/2004,Friday,73,113.38,114.05,112.98,113.83,47059200,91.56
1078,4/19/2004,Monday,74,113.55,113.99,113.27,113.83,28277600,91.56
1079,4/20/2004,Tuesday,75,114.08,114.32,111.78,111.92,53299400,90.02
1080,4/21/2004,Wednesday,76,112.2,112.95,111.87,112.67,50177300,90.63
1081,4/22/2004,Thursday,77,112.48,114.67,112.44,114.25,62071500,91.9
1082,4/23/2004,Friday,78,114.42,114.57,113.79,114.36,29395700,91.99
1083,4/26/2004,Monday,79,114.5,114.94,113.6,114.2,35515200,91.86
1084,4/27/2004,Tuesday,80,114.23,115.12,113.96,114.3,43485500,91.94
1085,4/28/2004,Wednesday,81,113.89,114.01,112.5,112.82,50165800,90.75
1086,4/29/2004,Thursday,82,112.72,113.32,111.16,111.83,69687600,89.95
1087,4/30/2004,Friday,83,112.17,112.38,110.9,110.96,48681400,89.25
1088,5/3/2004,Monday,84,111.37,112.29,111.35,112.15,33758000,90.21
1089,5/4/2004,Tuesday,85,112.25,113.26,111.66,112.06,51185100,90.14
1090,5/5/2004,Wednesday,86,112.41,112.96,112.16,112.78,34405000,90.72
1091,5/6/2004,Thursday,87,112.02,112.59,111,111.81,54997000,89.94
1092,5/7/2004,Friday,88,111.22,112.23,109.96,109.96,60950000,88.45
1093,5/10/2004,Monday,89,109.44,109.75,108.36,108.83,75279400,87.54
1094,5/11/2004,Tuesday,90,109.46,110.05,109.33,109.75,48300600,88.28
1095,5/12/2004,Wednesday,91,109.57,110.54,108.06,110.45,90830500,88.84
1096,5/13/2004,Thursday,92,109.76,110.81,109.63,109.99,57393700,88.47
1097,5/14/2004,Friday,93,109.95,110.74,109.27,110.04,54123100,88.51
1098,5/17/2004,Monday,94,108.89,109.5,108.41,109.1,55020400,87.76
1099,5/18/2004,Tuesday,95,109.49,109.94,109.33,109.65,30193100,88.2
1100,5/19/2004,Wednesday,96,110.5,111.18,109.15,109.27,54804100,87.89
1101,5/20/2004,Thursday,97,109.45,109.87,109.04,109.62,38082900,88.17
1102,5/21/2004,Friday,98,109.97,110.55,109.47,109.81,47480400,88.33
1103,5/24/2004,Monday,99,110.53,110.76,109.68,110.27,40961500,88.7
1104,5/25/2004,Tuesday,100,109.9,111.98,109.6,111.85,48668000,89.97
1105,5/26/2004,Wednesday,101,111.66,112.29,111.51,112.24,35977000,90.28
1106,5/27/2004,Thursday,102,112.54,113.03,112.06,112.87,45306900,90.79
1107,5/28/2004,Friday,103,112.73,112.88,112.36,112.86,23367200,90.78
1108,6/1/2004,Tuesday,104,112.46,112.86,111.87,112.71,41044700,90.66
1109,6/2/2004,Wednesday,105,113.03,113.48,112.46,113.13,39774200,91
1110,6/3/2004,Thursday,106,112.81,113.19,112.07,112.09,38688300,90.16
1111,6/4/2004,Friday,107,112.98,113.58,112.71,112.98,32739500,90.88
1112,6/7/2004,Monday,108,113.43,114.81,113.42,114.7,31643800,92.26
1113,6/8/2004,Tuesday,109,114.37,114.92,114.17,114.86,32846500,92.39
1114,6/9/2004,Wednesday,110,114.51,114.7,113.72,113.79,36737600,91.53
1115,6/10/2004,Thursday,111,114.04,114.35,113.93,114.35,21711000,91.98
1116,6/14/2004,Monday,112,113.82,113.85,112.87,113.22,34633000,91.07
1117,6/15/2004,Tuesday,113,113.9,114.45,113.51,114.02,37445000,91.71
1118,6/16/2004,Wednesday,114,114,114.2,113.7,114,26633400,91.7
1119,6/17/2004,Thursday,115,113.85,114.07,113.33,113.83,28402400,91.56
1120,6/18/2004,Friday,116,113.27,114.22,113.18,113.63,31799800,91.73
1121,6/21/2004,Monday,117,113.75,114.14,113.13,113.2,25284000,91.39
1122,6/22/2004,Tuesday,118,113.13,113.88,112.67,113.77,37334000,91.85
1123,6/23/2004,Wednesday,119,113.61,114.84,113.42,114.75,35580000,92.64
1124,6/24/2004,Thursday,120,114.56,114.93,114.26,114.39,35272100,92.35
1125,6/25/2004,Friday,121,114.41,114.94,113.68,113.84,32837900,91.9
1126,6/28/2004,Monday,122,114.52,114.61,113.41,113.45,40824500,91.59
1127,6/29/2004,Tuesday,123,113.53,114.17,113.42,113.92,28418100,91.97
1128,6/30/2004,Wednesday,124,114.07,114.79,113.65,114.53,52230600,92.46
1129,7/1/2004,Thursday,125,114.25,114.4,112.58,112.94,57734700,91.18
1130,7/2/2004,Friday,126,113.16,113.29,112.6,112.88,34615100,91.13
1131,7/6/2004,Tuesday,127,112.37,112.45,111.63,111.89,38698200,90.33
1132,7/7/2004,Wednesday,128,111.81,112.57,111.75,112.22,29839800,90.59
1133,7/8/2004,Thursday,129,111.81,112.32,111.2,111.44,45291100,89.96
1134,7/9/2004,Friday,130,111.72,111.94,111.38,111.73,27412900,90.2
1135,7/12/2004,Monday,131,111.52,112.04,111,111.78,35691300,90.24
1136,7/13/2004,Tuesday,132,111.92,112.02,111.6,111.86,26752000,90.3
1137,7/14/2004,Wednesday,133,111.26,112.39,111.12,111.52,54089400,90.03
1138,7/15/2004,Thursday,134,111.74,111.91,110.7,110.8,38403500,89.45
1139,7/16/2004,Friday,135,111.57,111.67,110.44,110.71,40871200,89.38
1140,7/19/2004,Monday,136,110.75,110.96,109.99,110.24,39592800,89
1141,7/20/2004,Tuesday,137,110.53,111.9,110.25,111.64,46679800,90.13
1142,7/21/2004,Wednesday,138,111.82,112.06,109.45,109.58,56241100,88.46
1143,7/22/2004,Thursday,139,109.36,110.39,108.77,109.88,72477100,88.71
1144,7/23/2004,Friday,140,109.62,109.71,108.69,108.96,49610500,87.96
1145,7/26/2004,Monday,141,109.19,109.43,108.21,108.75,49679100,87.79
1146,7/27/2004,Tuesday,142,109.05,110.11,108.97,109.77,51295100,88.62
1147,7/28/2004,Wednesday,143,109.55,110.37,108.59,110.1,65862300,88.88
1148,7/29/2004,Thursday,144,110.54,110.87,110,110.57,52200500,89.26
1149,7/30/2004,Friday,145,110.32,110.9,110.1,110.84,41581700,89.48
1150,8/2/2004,Monday,146,110.19,111.36,110.05,111.07,38263100,89.67
1151,8/3/2004,Tuesday,147,110.93,111.06,110.16,110.21,40948800,88.97
1152,8/4/2004,Wednesday,148,109.89,110.75,109.64,110.2,40763200,88.96
1153,8/5/2004,Thursday,149,110.29,110.38,108.27,108.4,50772000,87.51
1154,8/6/2004,Friday,150,107.63,107.96,106.62,106.85,74729000,86.26
1155,8/9/2004,Monday,151,107.02,107.48,106.87,107,37476300,86.38
1156,8/10/2004,Tuesday,152,107.31,108.41,107.26,108.38,55870600,87.49
1157,8/11/2004,Wednesday,153,107.68,108.33,107.1,108.16,52933200,87.32
1158,8/12/2004,Thursday,154,107.68,107.95,106.63,106.98,50015900,86.36
1159,8/13/2004,Friday,155,107.1,107.35,106.59,107.19,41634700,86.53
1160,8/16/2004,Monday,156,107.14,108.64,107.1,108.3,45731900,87.43
1161,8/17/2004,Tuesday,157,108.75,109.28,108.53,108.91,40701600,87.92
1162,8/18/2004,Wednesday,158,108.52,110.17,108.49,110.03,43165400,88.83
1163,8/19/2004,Thursday,159,109.81,110.02,109.18,109.71,39881600,88.57
1164,8/20/2004,Friday,160,109.61,110.63,109.51,110.48,44870900,89.19
1165,8/23/2004,Monday,161,110.55,110.77,110.05,110.2,33745100,88.96
1166,8/24/2004,Tuesday,162,110.64,110.73,109.85,110.35,30453100,89.08
1167,8/25/2004,Wednesday,163,110.33,111.27,109.9,111.1,38551400,89.69
1168,8/26/2004,Thursday,164,110.96,111.31,110.85,111.1,26629500,89.69
1169,8/27/2004,Friday,165,111.2,111.63,111.05,111.45,24902900,89.97
1170,8/30/2004,Monday,166,111.22,111.34,110.45,110.53,26726500,89.23
1171,8/31/2004,Tuesday,167,110.66,111.16,110.1,111.11,44125300,89.7
1172,9/1/2004,Wednesday,168,110.95,111.64,110.48,111.32,52778300,89.87
1173,9/2/2004,Thursday,169,111.24,112.7,111.24,112.58,42736600,90.89
1174,9/3/2004,Friday,170,112.33,112.82,112.01,112.12,30480500,90.51
1175,9/7/2004,Tuesday,171,112.54,113.13,112.32,112.86,37338800,91.11
1176,9/8/2004,Wednesday,172,112.62,113.06,112.31,112.58,32963100,90.89
1177,9/9/2004,Thursday,173,112.57,112.88,112.03,112.48,34314800,90.8
1178,9/10/2004,Friday,174,112.52,113.27,112.08,113.06,27900600,91.27
1179,9/13/2004,Monday,175,113.31,113.74,113.01,113.43,44398100,91.57
1180,9/14/2004,Tuesday,176,113.3,113.69,113.19,113.66,28048900,91.76
1181,9/15/2004,Wednesday,177,113.3,113.36,112.68,112.8,38295000,91.06
1182,9/16/2004,Thursday,178,112.85,113.37,112.8,113.14,23911700,91.34
1183,9/17/2004,Friday,179,112.95,113.36,112.69,113.15,33683000,91.73
1184,9/20/2004,Monday,180,112.67,112.99,112.28,112.47,37149400,91.17
1185,9/21/2004,Tuesday,181,112.75,113.47,112.54,112.96,40920800,91.57
1186,9/22/2004,Wednesday,182,112.5,112.52,111.47,111.55,49042100,90.43
1187,9/23/2004,Thursday,183,111.6,111.7,110.95,110.95,44068700,89.94
1188,9/24/2004,Friday,184,111.17,111.73,111.13,111.46,34981100,90.36
1189,9/27/2004,Monday,185,111.1,111.2,110.58,110.75,39355100,89.78
1190,9/28/2004,Tuesday,186,110.91,111.51,110.41,111.28,41662900,90.21
1191,9/29/2004,Wednesday,187,111.21,111.85,111,111.84,33325700,90.66
1192,9/30/2004,Thursday,188,111.55,111.98,111.26,111.76,43536700,90.6
1193,10/1/2004,Friday,189,112.26,113.65,112.21,113.65,62824300,92.13
1194,10/4/2004,Monday,190,114.1,114.44,113.8,113.84,33082400,92.28
1195,10/5/2004,Tuesday,191,113.85,114.16,113.54,113.9,36910600,92.33
1196,10/6/2004,Wednesday,192,113.77,114.68,113.68,114.68,42297800,92.97
1197,10/7/2004,Thursday,193,114.38,114.4,113.36,113.45,39388800,91.97
1198,10/8/2004,Friday,194,113.15,113.77,112.35,112.51,51872600,91.21
1199,10/11/2004,Monday,195,112.78,113.02,112.64,112.97,20229100,91.58
1200,10/12/2004,Tuesday,196,112.2,112.83,111.94,112.53,41754700,91.22
1201,10/13/2004,Wednesday,197,113,113.07,111.32,111.54,54212600,90.42
1202,10/14/2004,Thursday,198,111.68,111.93,110.58,110.64,64082200,89.69
1203,10/15/2004,Friday,199,111.02,111.74,110.57,111.26,63482200,90.19
1204,10/18/2004,Monday,200,110.89,111.9,110.7,111.68,43535100,90.53
1205,10/19/2004,Tuesday,201,112.02,112.23,110.59,110.74,55851900,89.77
1206,10/20/2004,Wednesday,202,110.38,110.82,109.75,110.52,57118500,89.59
1207,10/21/2004,Thursday,203,110.79,111.32,110.21,111.24,53218300,90.18
1208,10/22/2004,Friday,204,111.19,111.25,109.86,109.99,48752400,89.16
1209,10/25/2004,Monday,205,109.75,110.12,109.35,109.86,43990900,89.06
1210,10/26/2004,Tuesday,206,110.13,111.6,109.88,111.54,54337400,90.42
1211,10/27/2004,Wednesday,207,111.38,113.1,111.12,112.88,73896000,91.51
1212,10/28/2004,Thursday,208,112.78,113.56,112.49,113.22,54413300,91.78
1213,10/29/2004,Friday,209,113.12,113.64,112.9,113.2,48820200,91.77
1214,11/1/2004,Monday,210,113.56,113.84,113.2,113.51,36720900,92.02
1215,11/2/2004,Tuesday,211,113.67,114.57,113.22,113.55,56210000,92.05
1216,11/3/2004,Wednesday,212,115.03,115.36,114.24,114.98,76960200,93.21
1217,11/4/2004,Thursday,213,114.78,116.67,114.68,116.55,55350300,94.48
1218,11/5/2004,Friday,214,117.05,117.64,116.49,117.28,63287200,95.07
1219,11/8/2004,Monday,215,116.98,117.23,116.72,117.11,33863800,94.94
1220,11/9/2004,Tuesday,216,117.08,117.5,116.76,116.88,44658100,94.75
1221,11/10/2004,Wednesday,217,117.06,117.55,116.76,116.97,45265400,94.82
1222,11/11/2004,Thursday,218,117.18,118.12,117.1,117.86,37863200,95.54
1223,11/12/2004,Friday,219,117.97,119,117.68,118.79,55583700,96.3
1224,11/15/2004,Monday,220,118.5,118.77,118.23,118.73,35297900,96.53
1225,11/16/2004,Tuesday,221,118.36,118.41,117.73,117.88,40028700,95.84
1226,11/17/2004,Wednesday,222,118.37,119.14,118.07,118.58,54494000,96.41
1227,11/18/2004,Thursday,223,118.53,118.8,118.23,118.74,31854300,96.54
1228,11/19/2004,Friday,224,118.7,118.72,117.14,117.42,54276500,95.47
1229,11/22/2004,Monday,225,117.17,118.12,117.03,117.98,37560200,95.92
1230,11/23/2004,Tuesday,226,117.93,118.26,117.37,118.16,41968800,96.07
1231,11/24/2004,Wednesday,227,118.27,118.59,118.05,118.44,29724800,96.3
1232,11/26/2004,Friday,228,118.51,118.98,118.3,118.35,15487700,96.23
1233,11/29/2004,Monday,229,118.79,119.01,117.48,117.81,61460800,95.79
1234,11/30/2004,Tuesday,230,118,118.24,117.64,117.89,53685200,95.85
1235,12/1/2004,Wednesday,231,118.16,119.5,118.1,119.23,49898300,96.94
1236,12/2/2004,Thursday,232,119.1,119.87,119.01,119.33,60163500,97.02
1237,12/3/2004,Friday,233,119.31,120.14,119.09,119.25,49067900,96.96
1238,12/6/2004,Monday,234,119.21,119.64,118.84,119.21,33030500,96.92
1239,12/7/2004,Tuesday,235,119.49,119.62,118.04,118.1,52047200,96.02
1240,12/8/2004,Wednesday,236,118.21,118.82,118.01,118.79,43895100,96.58
1241,12/9/2004,Thursday,237,118.14,119.46,117.73,119.21,60922800,96.92
1242,12/10/2004,Friday,238,118.92,119.56,118.85,119.33,47828600,97.02
1243,12/13/2004,Monday,239,119.76,120.4,119.35,120.37,38541000,97.87
1244,12/14/2004,Tuesday,240,120.18,120.96,120.18,120.79,41500700,98.21
1245,12/15/2004,Wednesday,241,120.7,121.11,120.31,120.88,46699200,98.28
1246,12/16/2004,Thursday,242,120.72,121.24,120.04,120.81,51641800,98.23
1247,12/17/2004,Friday,243,119.46,119.97,119.16,119.44,70761900,97.57
1248,12/20/2004,Monday,244,119.75,120.29,119.17,119.47,47187400,97.59
1249,12/21/2004,Tuesday,245,119.6,120.48,119.46,120.39,33094200,98.35
1250,12/22/2004,Wednesday,246,120.38,121.08,120.3,120.68,31500700,98.58
1251,12/23/2004,Thursday,247,120.87,121.28,120.66,120.77,25646100,98.66
1252,12/27/2004,Monday,248,121.2,121.36,120.39,120.52,29944100,98.45
1253,12/28/2004,Tuesday,249,120.64,121.33,120.6,121.18,23422900,98.99
1254,12/29/2004,Wednesday,250,121.08,121.4,120.95,121.36,22650600,99.14
1255,12/30/2004,Thursday,251,121.4,121.57,121.04,121.13,21076900,98.95
1256,12/31/2004,Friday,252,121.3,121.66,120.8,120.87,28648800,98.74
1257,1/3/2005,Monday,1,121.56,121.76,119.9,120.3,55748000,98.27
1258,1/4/2005,Tuesday,2,120.46,120.54,118.44,118.83,69167600,97.07
1259,1/5/2005,Wednesday,3,118.74,119.25,118,118.01,65667300,96.4
1260,1/6/2005,Thursday,4,118.44,119.15,118.26,118.61,47814700,96.89
1261,1/7/2005,Friday,5,118.97,119.23,118.13,118.44,55847700,96.75
1262,1/10/2005,Monday,6,118.34,119.46,118.34,119,56563300,97.21
1263,1/11/2005,Tuesday,7,118.64,118.74,117.99,118.18,63099700,96.54
1264,1/12/2005,Wednesday,8,118.4,118.84,117.52,118.57,72720500,96.86
1265,1/13/2005,Thursday,9,118.64,118.73,117.5,117.62,55537500,96.08
1266,1/14/2005,Friday,10,117.97,118.53,117.76,118.24,42032500,96.59
1267,1/18/2005,Tuesday,11,118.05,119.62,117.95,119.47,57391700,97.59
1268,1/19/2005,Wednesday,12,119.43,119.52,118.21,118.22,54378900,96.57
1269,1/20/2005,Thursday,13,117.89,118.2,117.29,117.5,72049300,95.99
1270,1/21/2005,Friday,14,117.79,118,116.65,116.78,63160400,95.4
1271,1/24/2005,Monday,15,117.09,117.34,116.37,116.55,58441900,95.21
1272,1/25/2005,Tuesday,16,116.91,117.47,116.72,116.88,68245000,95.48
1273,1/26/2005,Wednesday,17,117.32,117.6,117.04,117.23,57195100,95.76
1274,1/27/2005,Thursday,18,117.19,117.75,116.98,117.43,55878800,95.93
1275,1/28/2005,Friday,19,117.49,117.55,116.61,117.43,60738900,95.93
1276,1/31/2005,Monday,20,117.95,118.25,117.71,118.16,52532700,96.52
1277,2/1/2005,Tuesday,21,118.25,119.08,118.1,118.91,49841200,97.14
1278,2/2/2005,Wednesday,22,119.06,119.59,118.9,119.27,52468900,97.43
1279,2/3/2005,Thursday,23,119.06,119.16,118.57,118.96,48837100,97.18
1280,2/4/2005,Friday,24,119,120.43,118.98,120.23,50024600,98.22
1281,2/7/2005,Monday,25,120.25,120.52,119.96,120.07,45412000,98.08
1282,2/8/2005,Tuesday,26,120.17,120.65,120.07,120.21,39263500,98.2
1283,2/9/2005,Wednesday,27,120.42,120.49,119.25,119.31,55279400,97.46
1284,2/10/2005,Thursday,28,119.66,120.02,119.26,119.74,45858600,97.82
1285,2/11/2005,Friday,29,119.7,121.04,119.46,120.77,53133000,98.66
1286,2/14/2005,Monday,30,120.69,120.86,120.48,120.68,32432100,98.58
1287,2/15/2005,Tuesday,31,120.8,121.43,120.68,121.13,43852700,98.95
1288,2/16/2005,Wednesday,32,120.93,121.46,120.67,121.21,55523000,99.02
1289,2/17/2005,Thursday,33,121.23,121.33,120.22,120.23,58124000,98.22
1290,2/18/2005,Friday,34,120.24,120.48,119.9,120.39,47723300,98.35
1291,2/22/2005,Tuesday,35,119.9,120.47,118.58,118.6,80697600,96.88
1292,2/23/2005,Wednesday,36,118.93,119.57,118.62,119.45,68292600,97.58
1293,2/24/2005,Thursday,37,119.24,120.32,118.98,120.24,68563600,98.22
1294,2/25/2005,Friday,38,120.27,121.67,120.18,121.43,60899900,99.2
1295,2/28/2005,Monday,39,121.15,121.3,120.04,120.63,69381300,98.54
1296,3/1/2005,Tuesday,40,120.82,121.52,120.78,121.23,47294400,99.03
1297,3/2/2005,Wednesday,41,120.76,121.93,120.65,121.17,64226500,98.98
1298,3/3/2005,Thursday,42,121.66,121.9,120.7,121.22,61230800,99.02
1299,3/4/2005,Friday,43,122.05,122.83,121.79,122.73,56168500,100.26
1300,3/7/2005,Monday,44,122.66,123.25,122.4,122.79,43442400,100.31
1301,3/8/2005,Tuesday,45,122.67,123,122.11,122.33,44362000,99.93
1302,3/9/2005,Wednesday,46,121.97,122.29,120.96,120.97,73263600,98.82
1303,3/10/2005,Thursday,47,121.2,121.5,120.4,121.24,65149000,99.04
1304,3/11/2005,Friday,48,121.31,121.72,120.16,120.39,57976500,98.35
1305,3/14/2005,Monday,49,120.61,121.16,120.28,121.14,36336400,98.96
1306,3/15/2005,Tuesday,50,121.42,121.46,120.08,120.14,62438500,98.14
1307,3/16/2005,Wednesday,51,119.7,120.16,118.9,119.12,74874200,97.31
1308,3/17/2005,Thursday,52,119.31,119.74,118.98,119.36,62584200,97.5
1309,3/18/2005,Friday,53,119.11,119.53,118.15,118.54,60232000,97.22
1310,3/21/2005,Monday,54,118.71,118.78,117.76,118.1,61244300,96.85
1311,3/22/2005,Tuesday,55,118.37,118.93,116.9,116.9,92472400,95.87
1312,3/23/2005,Wednesday,56,116.95,117.72,116.75,117,70817300,95.95
1313,3/24/2005,Thursday,57,117.46,117.99,117.06,117.14,51932500,96.07
1314,3/28/2005,Monday,58,117.42,117.94,117.31,117.31,46765500,96.21
1315,3/29/2005,Tuesday,59,117.14,117.9,116.25,116.53,71160300,95.57
1316,3/30/2005,Wednesday,60,116.78,118.2,116.77,118.18,62002100,96.92
1317,3/31/2005,Thursday,61,118.19,118.46,117.87,117.96,64575400,96.74
1318,4/1/2005,Friday,62,118.63,118.99,116.91,117.43,95255300,96.31
1319,4/4/2005,Monday,63,117.36,117.86,116.74,117.63,71581200,96.47
1320,4/5/2005,Tuesday,64,117.78,118.38,117.67,118.19,46853900,96.93
1321,4/6/2005,Wednesday,65,118.45,118.95,118.18,118.6,53268200,97.26
1322,4/7/2005,Thursday,66,118.41,119.26,118.32,119.24,46734600,97.79
1323,4/8/2005,Friday,67,119.17,119.21,118,118,63772900,96.77
1324,4/11/2005,Monday,68,118.29,118.42,117.83,118.09,44945000,96.85
1325,4/12/2005,Tuesday,69,117.89,119.06,117.07,118.7,86144800,97.35
1326,4/13/2005,Wednesday,70,118.56,118.8,117.13,117.3,65949000,96.2
1327,4/14/2005,Thursday,71,117.4,117.5,115.77,115.77,96119800,94.94
1328,4/15/2005,Friday,72,115.74,116.2,114.1,114.15,128677300,93.62
1329,4/18/2005,Monday,73,114.12,114.96,113.96,114.5,100035200,93.9
1330,4/19/2005,Tuesday,74,115.1,115.53,114.83,115.41,64930100,94.65
1331,4/20/2005,Wednesday,75,115.38,115.63,113.55,113.8,107735900,93.33
1332,4/21/2005,Thursday,76,114.79,116.21,114.38,116.01,86952200,95.14
1333,4/22/2005,Friday,77,115.74,116.5,114.27,115.57,88845800,94.78
1334,4/25/2005,Monday,78,115.86,116.5,115.72,116.33,52284100,95.4
1335,4/26/2005,Tuesday,79,115.96,116.77,115.15,115.2,72626000,94.48
1336,4/27/2005,Wednesday,80,114.86,116.07,114.44,115.65,84131900,94.85
1337,4/28/2005,Thursday,81,115.27,115.68,114.2,114.2,72481500,93.66
1338,4/29/2005,Friday,82,115.07,115.87,113.97,115.75,103993800,94.93
1339,5/2/2005,Monday,83,116.07,116.41,115.52,116.4,56026400,95.46
1340,5/3/2005,Tuesday,84,116.07,116.85,115.69,116.6,86000300,95.62
1341,5/4/2005,Wednesday,85,116.65,117.75,116.28,117.5,81055700,96.36
1342,5/5/2005,Thursday,86,117.67,118,116.74,117.46,96906700,96.33
1343,5/6/2005,Friday,87,117.93,117.99,117.06,117.09,67415400,96.03
1344,5/9/2005,Monday,88,117.21,118.08,117.05,117.82,43750500,96.62
1345,5/10/2005,Tuesday,89,117.36,117.5,116.39,116.6,74613500,95.62
1346,5/11/2005,Wednesday,90,116.93,117.4,115.85,117.24,91647400,96.15
