"Date","Mean daily flow, Oldman Rivernear Brocket, Jan 01, 1988 to Dec 31, 1991"
"1991-04-06",36.1
"1991-04-07",41.4
"1991-04-08",41.8
"1991-04-09",40.9
"1991-04-10",39.5
"1991-04-11",37.7
"1991-04-12",34.8
"1991-04-13",32.2
"1991-04-14",31.7
"1991-04-15",32.3
"1991-04-16",31.8
"1991-04-17",30.7
"1991-04-18",29.3
"1991-04-19",29.1
"1991-04-20",30.6
"1991-04-21",34
"1991-04-22",38.5
"1991-04-23",43.5
"1991-04-24",49
"1991-04-25",53.9
"1991-04-26",56.7
"1991-04-27",58.4
"1991-04-28",59.2
"1991-04-29",59.7
"1991-04-30",60.1
"1991-05-01",60.5
"1991-05-02",60.7
"1991-05-03",61.1
"1991-05-04",61
"1991-05-05",61.1
"1991-05-06",61.3
"1991-05-07",61.7
"1991-05-08",62.2
"1991-05-09",63.3
"1991-05-10",65.3
"1991-05-11",66.1
"1991-05-12",67.5
"1991-05-13",69.7
"1991-05-14",73.3
"1991-05-15",75.6
"1991-05-16",77.6
"1991-05-17",78.9
"1991-05-18",79.3
"1991-05-19",81.3
"1991-05-20",83.9
"1991-05-21",85.9
"1991-05-22",87.8
"1991-05-23",88.9
"1991-05-24",90.1
"1991-05-25",91
"1991-05-26",91.9
"1991-05-27",93
"1991-05-28",94.6
"1991-05-29",94.5
"1991-05-30",95.3
"1991-05-31",95.8
"1991-06-01",96.5
"1991-06-02",97.5
"1991-06-03",101
"1991-06-04",112
"1991-06-05",150
"1991-06-06",158
"1991-06-07",153
"1991-06-08",147
"1991-06-09",145
"1991-06-10",144
"1991-06-11",156
"1991-06-12",172
"1991-06-13",169
"1991-06-14",151
"1991-06-15",131
"1991-06-16",118
"1991-06-17",110
"1991-06-18",104
"1991-06-19",99.4
"1991-06-20",112
"1991-06-21",275
"1991-06-22",379
"1991-06-23",326
"1991-06-24",270
"1991-06-25",246
"1991-06-26",231
"1991-06-27",217
"1991-06-28",208
"1991-06-29",203
"1991-06-30",197
"1991-07-01",187
"1991-07-02",176
"1991-07-03",168
"1991-07-04",162
"1991-07-05",157
"1991-07-06",148
"1991-07-07",135
"1991-07-08",121
"1991-07-09",114
"1991-07-10",110
"1991-07-11",112
"1991-07-12",109
"1991-07-13",104
"1991-07-14",100
"1991-07-15",96.7
"1991-07-16",94.2
"1991-07-17",92.8
"1991-07-18",92.5
"1991-07-19",92.3
"1991-07-20",91.9
"1991-07-21",91.6
"1991-07-22",91.7
"1991-07-23",91.9
"1991-07-24",91.6
"1991-07-25",91.3
"1991-07-26",91.1
"1991-07-27",91
"1991-07-28",90.9
"1991-07-29",90.6
"1991-07-30",90.5
"1991-07-31",90.3
"1991-08-01",90.1
"1991-08-02",90.1
"1991-08-03",90.1
"1991-08-04",90
"1991-08-05",89.9
"1991-08-06",89.6
"1991-08-07",89.3
"1991-08-08",89
"1991-08-09",88.7
"1991-08-10",88.4
"1991-08-11",88
"1991-08-12",87.9
"1991-08-13",87.5
"1991-08-14",87
"1991-08-15",86.8
"1991-08-16",86.5
"1991-08-17",86.2
"1991-08-18",86
"1991-08-19",85.6
"1991-08-20",85.3
"1991-08-21",84.9
"1991-08-22",84.7
"1991-08-23",84.2
"1991-08-24",83.8
"1991-08-25",83.3
"1991-08-26",82.8
"1991-08-27",82.1
"1991-08-28",81.2
"1991-08-29",80.5
"1991-08-30",75.2
"1991-08-31",70.8
"1991-09-01",69.9
"1991-09-02",63.8
"1991-09-03",54.3
"1991-09-04",45.1
"1991-09-05",34.7
"1991-09-06",25.7
"1991-09-07",22.5
"1991-09-08",22.3
"1991-09-09",21.6
"1991-09-10",21.4
"1991-09-11",21.2
"1991-09-12",21.2
"1991-09-13",21.3
"1991-09-14",21.3
"1991-09-15",21.3
"1991-09-16",21.2
"1991-09-17",21.2
"1991-09-18",21.2
"1991-09-19",21.2
"1991-09-20",21.1
"1991-09-21",21.4
"1991-09-22",21.3
"1991-09-23",21.3
"1991-09-24",20.8
"1991-09-25",21.1
"1991-09-26",21.2
"1991-09-27",21.1
"1991-09-28",21.1
"1991-09-29",21
"1991-09-30",21
"1991-10-01",21
"1991-10-02",21
"1991-10-03",21.2
"1991-10-04",21.3
"1991-10-05",21.4
"1991-10-06",21.5
"1991-10-07",34.3
"1991-10-08",49.2
"1991-10-09",53.9
"1991-10-10",47.2
"1991-10-11",40.1
"1991-10-12",39.9
"1991-10-13",39.8
"1991-10-14",39.8
"1991-10-15",36.3
"1991-10-16",26
"1991-10-17",17.5
"1991-10-18",14.5
"1991-10-19",14.4
"1991-10-20",14.5
"1991-10-21",13.1
"1991-10-22",11
"1991-10-23",11.1
"1991-10-24",11
"1991-10-25",10.9
"1991-10-26",10.8
"1991-10-27",10.7
"1991-10-28",10.6
"1991-10-29",10.5
"1991-10-30",10.4
"1991-10-31",10.2
"1991-11-01",10.1
"1991-11-02",10.2
"1991-11-03",10.2
"1991-11-04",10.1
"1991-11-05",10.1
"1991-11-06",10.1
"1991-11-07",10.2
"1991-11-08",10.2
"1991-11-09",10.3
"1991-11-10",10.3
"1991-11-11",10.3
"1991-11-12",10.3
"1991-11-13",10.3
"1991-11-14",10.3
"1991-11-15",10.4
"1991-11-16",10.3
"1991-11-17",10.3
"1991-11-18",10.4
"1991-11-19",10.4
"1991-11-20",10.4
"1991-11-21",10.5
"1991-11-22",10.5
"1991-11-23",10.6
"1991-11-24",10.6
"1991-11-25",10.6
"1991-11-26",10.6
"1991-11-27",10.6
"1991-11-28",10.6
"1991-11-29",10.6
"1991-11-30",10.6
"1991-12-01",10.6
"1991-12-02",10.5
"1991-12-03",10.5
"1991-12-04",10.6
"1991-12-05",10.7
"1991-12-06",13
"1991-12-07",10.5
"1991-12-08",10.5
"1991-12-09",10.4
"1991-12-10",10.4
"1991-12-11",10.4
"1991-12-12",10.3
"1991-12-13",10.3
"1991-12-14",10.2
"1991-12-15",10.1
"1991-12-16",10.1
"1991-12-17",10.1
"1991-12-18",10.2
"1991-12-19",10
"1991-12-20",9.8
"1991-12-21",9.46
"1991-12-22",9.51
"1991-12-23",9.5
"1991-12-24",9.4
"1991-12-25",9.33
"1991-12-26",9.34
"1991-12-27",9.24
"1991-12-28",9.23
"1991-12-29",9.2
"1991-12-30",9.17
"1991-12-31",9.08

Mean daily flow, Oldman Rivernear Brocket, Jan 01, 1988 to Dec 31, 1991

